R,0.09621357917785645,RR,2.8573899269104004,2.7734386920928955
R,0.09721183776855469,RR,2.856391668319702,2.776827096939087

R,0.09721183776855469,RR,2.856391668319702,2.776827096939087
R,0.09721183776855469,RR,2.856391668319702,2.7778258323669434
R,0.09749841690063477,RR,2.85660457611084,2.7755351066589355
R,0.09790873527526855,RR,2.856194257736206,2.7751247882843018
R,0.09920573234558105,RR,2.8586745262145996,2.775831937789917

R,0.09920573234558105,RR,2.8586745262145996,2.7772960662841797
R,0.11121058464050293,RR,0.11141300201416016,0.012207269668579102
R,0.11182665824890137,RR,0.10980010032653809,0.011591196060180664
R,0.11101460456848145,RR,0.11160898208618164,0.012403249740600586
R,0.1115717887878418,RR,0.11204886436462402,0.012843132019042969
R,0.1109762191772461,RR,0.11093711853027344,0.013438701629638672
R,0.1109762191772461,RR,0.11134743690490723,0.013438701629638672
R,0.11121177673339844,RR,0.11141324043273926,0.01420140266418457
R,0.11121177673339844,RR,0.11141324043273926,0.01420140266418457
R,0.11032652854919434,RR,0.11229729652404785,0.016083717346191406
R,0.10993695259094238,RR,0.11169075965881348,0.017096281051635742
R,0.11099576950073242,RR,0.11162805557250977,0.01541447639465332
R,0.10921645164489746,RR,0.11175918579101562,0.017816781997680664
R,0.11161375045776367,RR,0.11200737953186035,0.015793800354003906
R,0.13541531562805176,RR,0.16969966888427734,0.0586850643157959
R,0.13542866706848145,RR,0.1696615219116211,0.058685302734375
R,0.13641357421875,RR,0.16951346397399902,0.057686805725097656
R,0.13541531562805176,RR,0.16925978660583496,0.057687997817993164
R,0.13542866706848145,RR,0.1688988208770752,0.05768704414367676
R,0.13440895080566406,RR,0.17089390754699707,0.05968213081359863
R,0.13740134239196777,RR,0.16866421699523926,0.057687997817993164
R,0.13640403747558594,RR,0.16790151596069336,0.0586850643157959
R,0.13440895080566406,RR,0.16968083381652832,0.0586850643157959
R,0.13740110397338867,RR,0.16989684104919434,0.0586850643157959
R,0.13640403747558594,RR,0.16930150985717773,0.05768775939941406
R,0.13740158081054688,RR,0.16901159286499023,0.0586850643157959
R,0.13740158081054688,RR,0.16862201690673828,0.0586850643157959
R,0.11616349220275879,RR,0.20789170265197754,0.07147812843322754
R,0.11590075492858887,RR,0.2091524600982666,0.0727388858795166
R,0.11663126945495605,RR,0.2084205150604248,0.07300519943237305
R,0.11563444137573242,RR,0.2084205150604248,0.07300519943237305
R,0.11606574058532715,RR,0.2089860439300537,0.07158470153808594
R,0.11606574058532715,RR,0.20798730850219727,0.0705862045288086
R,0.11706233024597168,RR,0.20798873901367188,0.07256007194519043
R,0.11706352233886719,RR,0.2089853286743164,0.07355666160583496
R,0.1150672435760498,RR,0.20898652076721191,0.07158493995666504
R,0.11679363250732422,RR,0.20798850059509277,0.07158446311950684
R,0.11606526374816895,RR,0.20798850059509277,0.0705869197845459
R,0.11679363250732422,RR,0.20798850059509277,0.07357954978942871
R,0.11679363250732422,RR,0.20798850059509277,0.07158446311950684
R,0.1237177848815918,RR,0.511599063873291,0.3959646224975586
R,0.12271785736083984,RR,0.5120346546173096,0.3959689140319824
R,0.12283444404602051,RR,0.5133101940155029,0.3965165615081787
R,0.12371444702148438,RR,0.5110363960266113,0.3942427635192871
R,0.12328886985778809,RR,0.5125603675842285,0.3963968753814697
